season,pno,name,team,color,pos,war,owar,dwar,wrcplus,pa,hr,ops,sb,rbi,hit,run,iso,bbpct,kpct,sbrate,arch
1982,1030,조충열,해,#ff0c00,SS,-0.16,-0.17,0.01,57.2,298,2,0.58,8,21,62,35,0.053,6.7,7.7,2.7,🧤 수비형·백업
1982,11469,김경문,O,#15326f,C,-0.16,-0.43,0.27,44.0,122,0,0.52,2,6,23,10,0.038,5.7,5.7,1.6,🧤 수비형·백업
1982,1036,김유동,O,#15326f,DH,-0.2,0.09,-0.29,71.5,165,6,0.696,2,23,38,21,0.181,1.8,10.3,1.2,🧤 수비형·백업
1982,1099,최영환,삼미,#88b7e1,C,-0.24,-0.49,0.25,26.4,107,2,0.53,0,11,17,9,0.123,6.5,19.6,0.0,🧤 수비형·백업
1982,1047,이근식,O,#15326f,RF,-0.24,-0.22,-0.02,5.9,28,0,0.436,1,1,5,1,0.037,3.6,39.3,3.6,🎰 스윙형(삼진↑)
1982,1084,이경수,삼미,#88b7e1,CF,-0.27,-0.3,0.03,18.3,62,0,0.497,1,3,11,9,0.085,3.2,12.9,1.6,🧤 수비형·백업
1982,1056,김구길,삼미,#88b7e1,3B,-0.27,-0.41,0.14,15.8,70,0,0.454,1,2,13,1,0.016,4.3,21.4,1.4,🧤 수비형·백업
1982,1101,최정우,M,#1552f8,CF,-0.28,-0.11,-0.16,52.9,65,0,0.516,3,4,12,6,0.0,10.8,18.5,4.6,🧤 수비형·백업
1982,1096,조호,M,#1552f8,1B,-0.29,-0.02,-0.27,62.5,64,0,0.599,4,3,11,8,0.038,9.4,17.2,6.2,🏃 호타준족
1982,1055,김경훈,해,#ff0c00,C,-0.29,-0.35,0.06,-13.8,41,0,0.314,1,1,3,3,0.028,12.2,22.0,2.4,🧤 수비형·백업
1982,1062,김재박,M,#1552f8,SS,-0.31,-0.34,0.02,-154.0,13,0,0.0,0,0,0,0,0.0,0.0,23.1,0.0,🧤 수비형·백업
1982,1070,문주모,삼미,#88b7e1,CF,-0.32,-0.24,-0.08,-72.0,15,0,0.204,0,0,1,1,0.0,6.7,26.7,0.0,🧤 수비형·백업
1982,1042,서정환,삼,#0061aa,3B,-0.32,-0.43,0.1,27.8,135,2,0.511,9,19,25,14,0.072,3.7,15.6,6.7,🧤 수비형·백업
1982,1080,신언호,M,#1552f8,CF,-0.37,0.64,-1.01,84.1,256,3,0.663,10,26,55,30,0.109,8.6,10.2,3.9,🧤 수비형·백업
1982,1029,정영기,M,#1552f8,SS,-0.38,-0.37,-0.01,55.3,270,1,0.555,6,23,56,27,0.04,7.8,11.9,2.2,🧤 수비형·백업
1982,1018,송경섭,삼미,#88b7e1,3B,-0.39,-0.26,-0.13,48.5,172,2,0.584,2,20,30,9,0.112,7.0,23.8,1.2,🎰 스윙형(삼진↑)
1982,1103,홍순만,해,#ff0c00,C,-0.42,-0.15,-0.26,-26.0,15,0,0.277,0,0,1,2,0.0,13.3,13.3,0.0,🧤 수비형·백업
1982,1066,김진철,삼미,#88b7e1,C,-0.51,-0.57,0.06,-14.0,50,0,0.396,0,4,6,3,0.066,6.0,24.0,0.0,🧤 수비형·백업
1982,1069,김휘욱,삼,#0061aa,OF,-0.6,-0.64,0.03,-15.8,69,1,0.404,0,9,10,5,0.09,1.4,11.6,0.0,🧤 수비형·백업
1982,1086,이성득,롯,#888888,2B,-0.63,-0.56,-0.08,29.4,132,0,0.462,2,2,22,6,0.008,9.1,6.1,1.5,🧤 수비형·백업
1982,1060,김용만,해,#ff0c00,C,-0.77,-0.93,0.17,-8.6,110,0,0.378,2,7,15,7,0.029,5.5,9.1,1.8,🧤 수비형·백업
1982,1079,송진호,삼,#0061aa,P,-0.78,-0.92,0.15,-26.0,82,1,0.359,3,7,11,11,0.062,2.4,22.0,3.7,🧤 수비형·백업
1982,12714,김무관,삼미,#88b7e1,OF,-0.96,-0.49,-0.48,54.7,292,1,0.573,5,14,55,33,0.055,8.2,9.9,1.7,🧤 수비형·백업
1982,1088,이찬선,삼미,#88b7e1,IF,-1.23,-1.19,-0.05,-105.7,59,0,0.14,0,3,3,2,0.0,1.7,18.6,0.0,🧤 수비형·백업
1983,1142,장효조,삼,#0061aa,RF,7.54,7.63,-0.09,221.1,386,18,1.087,22,62,117,61,0.249,15.0,10.1,5.7,💪 슬러거
1983,1025,이만수,삼,#0061aa,C,5.34,4.96,0.38,165.1,410,27,0.932,0,73,105,53,0.261,10.0,12.4,0.0,💪 슬러거
1983,1062,김재박,M,#1552f8,SS,4.8,3.82,0.98,134.1,433,5,0.772,34,46,108,53,0.109,9.7,5.3,7.9,🏃 호타준족
1983,1139,박종훈,O,#15326f,CF,4.33,4.05,0.28,142.7,427,3,0.796,7,24,117,53,0.107,8.9,6.6,1.6,🎯 정교한 타자
1983,1009,김용철,롯,#888888,3B,4.31,4.02,0.29,149.3,374,14,0.84,8,38,92,47,0.205,10.2,12.6,2.1,💪 슬러거
1983,1141,이해창,M,#1552f8,CF,4.2,3.98,0.22,140.7,444,8,0.797,26,47,114,65,0.136,9.2,7.4,5.9,🏃 호타준족
1983,1026,이종도,M,#1552f8,RF,4.12,4.19,-0.07,150.6,391,8,0.822,16,62,101,50,0.156,9.0,11.0,4.1,🎯 정교한 타자
1983,1095,정학수,롯,#888888,2B,3.79,2.76,1.03,120.7,401,3,0.715,9,30,98,48,0.08,10.5,6.7,2.2,👁 출루형
1983,1138,김진우,삼미,#88b7e1,C,3.7,3.01,0.69,117.7,424,15,0.763,3,49,92,46,0.156,12.0,10.6,0.7,👁 출루형
1983,1005,김봉연,해,#ff0c00,DH,3.56,4.06,-0.5,166.1,329,22,0.923,2,59,80,53,0.272,12.8,8.5,0.6,💪 슬러거
1983,1021,양승관,삼미,#88b7e1,RF,3.5,3.12,0.39,146.3,312,9,0.833,0,30,84,41,0.166,7.7,11.5,0.0,🎯 정교한 타자
1983,1011,김우열,O,#15326f,RF,3.48,4.13,-0.65,152.4,379,9,0.838,9,56,97,48,0.174,10.3,10.0,2.4,🎯 정교한 타자
1983,1143,정구선,삼미,#88b7e1,2B,3.33,2.35,0.98,112.7,404,15,0.741,1,35,91,44,0.157,8.7,10.6,0.2,🎯 정교한 타자
1983,1072,박용성,롯,#888888,RF,3.32,3.79,-0.46,145.6,398,17,0.852,6,63,100,40,0.206,8.3,15.1,1.5,🎯 정교한 타자
1983,1023,윤동균,O,#15326f,LF,3.32,3.65,-0.33,137.9,411,10,0.789,7,54,97,49,0.144,12.9,8.0,1.7,👁 출루형
1983,12726,김성한,해,#ff0c00,1B,3.25,4.41,-1.16,159.7,382,7,0.849,13,40,111,59,0.121,9.9,9.9,3.4,🎯 정교한 타자
1983,1140,유두열,롯,#888888,DH,3.14,3.93,-0.79,157.6,344,9,0.855,7,36,90,33,0.154,10.8,10.2,2.0,🎯 정교한 타자
1983,1064,김종모,해,#ff0c00,RF,2.96,4.36,-1.4,178.3,342,11,0.928,7,44,109,51,0.174,7.6,7.6,2.0,🎯 정교한 타자
1983,1166,이영구,삼미,#88b7e1,2B,2.82,2.38,0.44,113.6,418,5,0.722,5,36,102,48,0.109,7.2,4.5,1.2,🎯 정교한 타자
1983,1137,김무종,해,#ff0c00,C,2.69,2.01,0.68,114.2,345,12,0.766,2,60,81,43,0.191,5.8,10.1,0.6,🎯 정교한 타자
1983,1136,김대진,삼미,#88b7e1,LF,2.34,2.17,0.17,107.0,363,2,0.692,4,23,86,42,0.061,8.3,9.6,1.1,👁 출루형
1983,1016,배대웅,삼,#0061aa,SS,1.99,2.07,-0.08,121.3,268,2,0.726,6,22,65,27,0.088,9.0,4.1,2.2,👁 출루형
1983,11471,김용희,롯,#888888,3B,1.96,2.55,-0.59,130.0,333,18,0.825,5,52,82,43,0.215,7.8,9.0,1.5,🎯 정교한 타자
1983,1001,구천서,O,#15326f,2B,1.93,1.93,0.01,122.9,263,4,0.766,4,27,61,39,0.127,8.0,13.7,1.5,🎯 정교한 타자
1983,1024,이광은,M,#1552f8,3B,1.92,2.29,-0.37,111.6,366,8,0.736,17,36,89,45,0.133,6.6,7.9,4.6,🏃 호타준족
1983,1144,한대화,O,#15326f,3B,1.8,2.02,-0.21,107.3,344,5,0.716,4,44,85,39,0.134,4.7,12.5,1.2,🎯 정교한 타자
1983,1053,함학수,삼,#0061aa,1B,1.67,1.05,0.63,87.7,315,5,0.653,8,32,77,40,0.098,3.8,9.2,2.5,🧤 수비형·백업
1983,1019,신경식,O,#15326f,1B,1.55,1.86,-0.3,99.2,421,5,0.685,9,50,101,47,0.085,7.4,9.0,2.1,🧤 수비형·백업
1983,1052,천보성,삼,#0061aa,2B,1.51,1.19,0.32,108.9,199,6,0.721,3,25,43,23,0.161,8.0,8.5,1.5,🎯 정교한 타자
1983,1149,김근석,삼,#0061aa,2B,1.48,1.21,0.27,97.0,320,4,0.691,2,28,77,35,0.085,4.7,11.6,0.6,🧤 수비형·백업
1983,1063,김재상,롯,#888888,CF,1.45,0.98,0.47,94.0,264,2,0.648,13,14,56,28,0.083,8.7,9.1,4.9,🏃 호타준족
1983,1013,김일권,해,#ff0c00,CF,1.45,2.15,-0.7,108.8,419,6,0.709,48,26,103,45,0.089,8.4,8.1,11.5,🏃 호타준족
1983,1012,김인식,M,#1552f8,3B,1.39,0.5,0.88,73.4,416,1,0.631,14,30,100,48,0.061,2.6,4.3,3.4,🧤 수비형·백업
1983,1031,조흥운,삼미,#88b7e1,SS,1.38,0.34,1.04,70.9,280,0,0.587,12,27,60,24,0.067,5.7,11.4,4.3,🧤 수비형·백업
1983,1080,신언호,M,#1552f8,RF,1.07,1.32,-0.25,101.3,282,5,0.698,3,33,69,28,0.132,3.9,11.3,1.1,🎯 정교한 타자
1983,1041,박찬,삼,#0061aa,RF,1.05,1.23,-0.18,133.2,147,1,0.755,2,12,38,20,0.1,9.5,16.3,1.4,👁 출루형
1983,1075,박준영,삼미,#88b7e1,LF,1.03,0.49,0.54,84.4,187,3,0.617,0,14,36,19,0.092,10.7,16.0,0.0,👁 출루형
1983,1048,이홍범,O,#15326f,CF,0.94,0.9,0.05,104.7,173,0,0.681,5,19,48,23,0.038,4.0,6.9,2.9,🧤 수비형·백업
1983,1042,서정환,해,#ff0c00,2B,0.88,1.39,-0.51,93.8,358,3,0.659,13,34,82,33,0.082,7.5,11.7,3.6,🧤 수비형·백업
1983,1049,정종현,O,#15326f,C,0.85,0.59,0.26,109.7,115,6,0.755,0,14,23,18,0.202,8.7,7.0,0.0,🎯 정교한 타자
1983,1083,유승안,M,#1552f8,C,0.85,0.34,0.51,78.0,160,1,0.595,2,10,33,8,0.043,10.6,16.2,1.2,👁 출루형
1983,1146,김정수,M,#1552f8,1B,0.83,1.37,-0.55,95.2,330,5,0.668,7,34,67,32,0.111,10.0,17.6,2.1,👁 출루형
1983,1160,심재원,롯,#888888,C,0.82,0.17,0.65,63.4,201,3,0.583,3,13,41,19,0.072,6.0,10.9,1.5,🧤 수비형·백업
